merge_mode,frame,island_mbs,island_vs_edited_max,island_vs_edited_mean,island_mbs_differing,island_mbs_visible,skip_vs_orig_max,skip_mbs_differing,skip_vs_orig_mean,skip_mbs_visible,nongadget_vs_orig_max,nongadget_mbs_differing,nongadget_vs_orig_mean,nongadget_mbs_visible,gadget_vs_edited_max,gadget_mean_luma
geometric_halo0,27,0,0,0.0000,0,0,230,2032,26.1660,1669,230,2032,26.1660,1669,0,NaN
geometric_halo0,28,0,0,0.0000,0,0,236,2030,26.0950,1656,236,2030,26.0950,1656,0,NaN
geometric_halo0,29,0,0,0.0000,0,0,228,2031,25.9954,1652,228,2031,25.9954,1652,0,NaN
geometric_halo1,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,1,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,2,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,3,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,4,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,5,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,6,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,7,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,8,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,9,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,10,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,11,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,12,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,13,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo1,14,1050,27,0.0273,64,3,95,697,0.9633,377,95,818,0.9463,385,13,2.44
geometric_halo1,15,1050,71,0.0890,99,13,115,845,1.4633,469,115,973,1.4685,488,12,2.45
geometric_halo1,16,0,0,0.0000,0,0,248,1892,25.6288,1303,248,1892,25.6288,1303,0,NaN
geometric_halo1,17,0,0,0.0000,0,0,255,1907,25.6761,1326,255,1907,25.6761,1326,0,NaN
geometric_halo1,18,0,0,0.0000,0,0,238,1914,25.4908,1341,238,1914,25.4908,1341,0,NaN
geometric_halo1,19,0,0,0.0000,0,0,238,1916,25.4316,1348,238,1916,25.4316,1348,0,NaN
geometric_halo1,20,0,0,0.0000,0,0,237,1919,25.4508,1359,237,1919,25.4508,1359,0,NaN
geometric_halo1,21,0,0,0.0000,0,0,238,1920,25.3048,1370,238,1920,25.3048,1370,0,NaN
geometric_halo1,22,0,0,0.0000,0,0,239,1923,25.1463,1369,239,1923,25.1463,1369,0,NaN
geometric_halo1,23,0,0,0.0000,0,0,234,1925,25.1318,1369,234,1925,25.1318,1369,0,NaN
geometric_halo1,24,0,0,0.0000,0,0,232,1920,25.0726,1381,232,1920,25.0726,1381,0,NaN
geometric_halo1,25,0,0,0.0000,0,0,241,1928,25.0692,1373,241,1928,25.0692,1373,0,NaN
geometric_halo1,26,0,0,0.0000,0,0,232,1928,25.1237,1394,232,1928,25.1237,1394,0,NaN
geometric_halo1,27,0,0,0.0000,0,0,230,1930,25.0693,1381,230,1930,25.0693,1381,0,NaN
geometric_halo1,28,0,0,0.0000,0,0,236,1934,25.0087,1378,236,1934,25.0087,1378,0,NaN
geometric_halo1,29,0,0,0.0000,0,0,228,1936,24.9185,1368,228,1936,24.9185,1368,0,NaN
geometric_halo2,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,1,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,2,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,3,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,4,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,5,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,6,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,7,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,8,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,9,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,10,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,11,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,12,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,13,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo2,14,1188,86,0.0815,75,14,76,171,0.0991,49,86,362,0.1554,67,31,2.46
geometric_halo2,15,1188,66,0.1640,144,33,73,492,0.6115,240,73,723,0.6832,284,40,2.47
geometric_halo2,16,0,0,0.0000,0,0,248,1650,25.1059,1101,248,1650,25.1059,1101,0,NaN
geometric_halo2,17,0,0,0.0000,0,0,255,1672,25.1661,1134,255,1672,25.1661,1134,0,NaN
geometric_halo2,18,0,0,0.0000,0,0,238,1682,24.9788,1154,238,1682,24.9788,1154,0,NaN
geometric_halo2,19,0,0,0.0000,0,0,238,1687,24.9282,1163,238,1687,24.9282,1163,0,NaN
geometric_halo2,20,0,0,0.0000,0,0,237,1690,24.9479,1159,237,1690,24.9479,1159,0,NaN
geometric_halo2,21,0,0,0.0000,0,0,238,1696,24.8110,1178,238,1696,24.8110,1178,0,NaN
geometric_halo2,22,0,0,0.0000,0,0,239,1694,24.6569,1178,239,1694,24.6569,1178,0,NaN
geometric_halo2,23,0,0,0.0000,0,0,234,1701,24.6487,1174,234,1701,24.6487,1174,0,NaN
geometric_halo2,24,0,0,0.0000,0,0,232,1702,24.5917,1186,232,1702,24.5917,1186,0,NaN
geometric_halo2,25,0,0,0.0000,0,0,241,1710,24.5907,1177,241,1710,24.5907,1177,0,NaN
geometric_halo2,26,0,0,0.0000,0,0,232,1712,24.6466,1192,232,1712,24.6466,1192,0,NaN
geometric_halo2,27,0,0,0.0000,0,0,230,1721,24.6004,1197,230,1721,24.6004,1197,0,NaN
geometric_halo2,28,0,0,0.0000,0,0,236,1728,24.5429,1191,236,1728,24.5429,1191,0,NaN
geometric_halo2,29,0,0,0.0000,0,0,228,1733,24.4576,1190,228,1733,24.4576,1190,0,NaN
geometric_halo4,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
